sex,age,height,weight,duration,heart_rate,body_temp,calorie_burn_rate,calories
female,77,176.0,72.0,30.0,110.0,41.0,7.266666666666667,218.0
female,40,177.0,73.0,7.0,82.0,39.5,3.5714285714285716,25.0
male,35,201.0,104.0,22.0,107.0,40.6,6.909090909090909,152.0
male,33,188.0,90.0,14.0,99.0,40.1,5.285714285714286,74.0
female,63,161.0,61.0,11.0,91.0,40.4,5.090909090909091,56.0
male,71,184.0,91.0,14.0,87.0,40.0,5.357142857142857,75.0
female,41,166.0,62.0,14.0,94.0,40.3,5.071428571428571,71.0
female,34,159.0,52.0,29.0,102.0,40.8,5.896551724137931,171.0
female,23,146.0,48.0,7.0,91.0,39.7,4.571428571428571,32.0
male,31,200.0,110.0,9.0,91.0,40.0,4.444444444444445,40.0
male,21,194.0,86.0,15.0,92.0,40.2,3.6,54.0
male,34,179.0,80.0,18.0,98.0,40.7,5.0,90.0
male,31,182.0,86.0,22.0,101.0,40.6,5.409090909090909,119.0
male,63,185.0,90.0,29.0,112.0,40.9,8.689655172413794,252.0
male,56,196.0,101.0,9.0,87.0,39.9,4.777777777777778,43.0
male,29,182.0,85.0,25.0,101.0,41.0,5.28,132.0
male,22,188.0,83.0,28.0,113.0,40.7,6.714285714285714,188.0
male,24,186.0,88.0,2.0,91.0,38.1,3.5,7.0
female,26,153.0,49.0,21.0,93.0,40.5,4.857142857142857,102.0
male,58,199.0,105.0,8.0,95.0,39.7,6.25,50.0
female,22,173.0,66.0,20.0,93.0,40.8,4.55,91.0
male,44,184.0,84.0,10.0,92.0,39.6,4.6,46.0
female,22,155.0,54.0,19.0,103.0,40.3,5.7894736842105265,110.0
male,63,199.0,105.0,2.0,74.0,38.5,3.5,7.0
female,48,171.0,68.0,16.0,96.0,40.4,5.3125,85.0
male,25,186.0,86.0,11.0,98.0,40.1,4.636363636363637,51.0
male,40,177.0,84.0,7.0,82.0,39.4,3.0,21.0
male,29,177.0,73.0,11.0,96.0,40.1,4.2727272727272725,47.0
male,21,171.0,72.0,5.0,86.0,39.4,2.4,12.0
female,24,167.0,63.0,16.0,94.0,40.3,4.75,76.0
male,29,170.0,71.0,13.0,91.0,40.3,3.4615384615384617,45.0
female,65,164.0,64.0,4.0,87.0,38.6,4.75,19.0
male,29,189.0,96.0,4.0,83.0,38.6,2.75,11.0
female,77,178.0,73.0,9.0,84.0,39.8,4.444444444444445,40.0
male,71,193.0,98.0,24.0,99.0,40.9,7.291666666666667,175.0
male,40,179.0,76.0,5.0,85.0,39.4,3.2,16.0
male,68,188.0,90.0,10.0,85.0,40.1,4.9,49.0
female,27,189.0,82.0,13.0,96.0,40.2,4.769230769230769,62.0
female,30,154.0,55.0,1.0,86.0,37.5,4.0,4.0
male,22,180.0,84.0,28.0,111.0,40.7,6.428571428571429,180.0
female,23,161.0,60.0,26.0,112.0,40.5,6.6923076923076925,174.0
female,75,168.0,65.0,21.0,104.0,40.3,6.666666666666667,140.0
male,48,152.0,59.0,2.0,79.0,38.0,2.5,5.0
female,76,148.0,52.0,18.0,91.0,40.1,5.5,99.0
male,70,171.0,79.0,13.0,94.0,39.9,6.076923076923077,79.0
male,66,199.0,100.0,17.0,98.0,40.5,6.9411764705882355,118.0
male,27,180.0,79.0,21.0,105.0,40.0,5.666666666666667,119.0
female,42,150.0,52.0,6.0,94.0,39.4,5.166666666666667,31.0
male,79,185.0,91.0,12.0,94.0,40.0,6.75,81.0
male,51,198.0,94.0,17.0,87.0,40.1,4.411764705882353,75.0
male,51,182.0,86.0,2.0,94.0,38.3,5.5,11.0
male,29,190.0,92.0,22.0,93.0,40.5,4.2272727272727275,93.0
male,41,190.0,95.0,13.0,96.0,40.4,5.3076923076923075,69.0
female,68,168.0,66.0,26.0,102.0,41.1,6.3076923076923075,164.0
female,39,161.0,63.0,16.0,94.0,40.1,5.0,80.0
male,37,199.0,101.0,7.0,91.0,39.1,4.571428571428571,32.0
female,20,173.0,70.0,5.0,75.0,38.8,2.6,13.0
male,62,183.0,94.0,5.0,84.0,39.2,4.6,23.0
female,37,159.0,62.0,25.0,101.0,40.6,5.72,143.0
male,37,189.0,97.0,11.0,88.0,39.7,4.0,44.0
male,70,173.0,78.0,20.0,95.0,40.4,6.2,124.0
female,33,150.0,48.0,15.0,89.0,40.4,4.533333333333333,68.0
male,61,194.0,91.0,26.0,102.0,41.3,7.115384615384615,185.0
male,53,173.0,77.0,11.0,90.0,39.7,4.636363636363637,51.0
male,38,194.0,101.0,14.0,90.0,39.8,4.428571428571429,62.0
male,27,185.0,85.0,18.0,106.0,39.8,5.944444444444445,107.0
female,32,151.0,54.0,20.0,100.0,40.6,5.65,113.0
male,34,172.0,81.0,21.0,103.0,40.7,5.761904761904762,121.0
female,66,145.0,51.0,22.0,105.0,40.7,6.818181818181818,150.0
female,28,166.0,64.0,19.0,93.0,40.7,4.684210526315789,89.0
female,40,189.0,89.0,25.0,109.0,40.4,6.28,157.0
female,71,165.0,67.0,27.0,111.0,41.2,7.333333333333333,198.0
female,40,162.0,66.0,22.0,101.0,40.9,5.7272727272727275,126.0
female,43,176.0,75.0,7.0,87.0,39.8,4.142857142857143,29.0
female,26,176.0,63.0,17.0,92.0,40.5,4.529411764705882,77.0
female,50,165.0,66.0,7.0,98.0,39.6,5.571428571428571,39.0
male,42,189.0,97.0,18.0,102.0,40.3,6.333333333333333,114.0
male,21,180.0,78.0,14.0,105.0,40.2,5.357142857142857,75.0
male,69,186.0,83.0,16.0,91.0,40.4,5.6875,91.0
female,65,162.0,62.0,14.0,86.0,39.8,4.642857142857143,65.0
male,28,178.0,85.0,24.0,110.0,40.7,6.583333333333333,158.0
female,31,162.0,60.0,12.0,92.0,39.6,4.666666666666667,56.0
female,77,160.0,66.0,15.0,94.0,40.5,5.6,84.0
female,72,145.0,49.0,25.0,109.0,40.6,7.36,184.0
female,79,178.0,82.0,16.0,90.0,40.2,5.0,80.0
female,28,168.0,66.0,28.0,109.0,40.7,6.357142857142857,178.0
male,76,193.0,101.0,14.0,99.0,40.2,7.571428571428571,106.0
female,34,169.0,67.0,8.0,76.0,39.5,2.875,23.0
male,37,182.0,83.0,29.0,104.0,40.8,6.103448275862069,177.0
female,44,186.0,81.0,22.0,101.0,40.8,5.590909090909091,123.0
female,68,170.0,73.0,6.0,93.0,39.3,5.333333333333333,32.0
female,78,183.0,79.0,20.0,104.0,40.4,6.55,131.0
male,73,175.0,76.0,4.0,86.0,38.9,5.0,20.0
male,57,177.0,83.0,12.0,91.0,39.7,5.083333333333333,61.0
female,21,181.0,73.0,20.0,100.0,40.4,5.2,104.0
male,48,180.0,86.0,11.0,91.0,40.0,4.7272727272727275,52.0
female,23,176.0,68.0,18.0,107.0,40.4,6.055555555555555,109.0
male,75,184.0,89.0,22.0,97.0,40.7,7.0,154.0
male,77,182.0,88.0,28.0,104.0,41.1,8.142857142857142,228.0
male,37,183.0,90.0,16.0,96.0,40.2,5.0625,81.0
male,50,170.0,77.0,17.0,101.0,40.4,6.117647058823529,104.0
female,46,161.0,63.0,23.0,99.0,40.5,5.6521739130434785,130.0
male,20,190.0,93.0,16.0,99.0,40.2,4.75,76.0
female,21,150.0,50.0,19.0,104.0,40.1,5.947368421052632,113.0
female,58,151.0,52.0,28.0,109.0,41.0,7.071428571428571,198.0
female,22,161.0,62.0,29.0,99.0,40.8,5.241379310344827,152.0
female,29,157.0,57.0,22.0,99.0,40.9,5.454545454545454,120.0
male,31,185.0,86.0,9.0,83.0,39.9,2.6666666666666665,24.0
male,51,193.0,100.0,4.0,85.0,38.8,4.25,17.0
male,27,194.0,90.0,7.0,89.0,39.5,3.4285714285714284,24.0
male,32,187.0,88.0,8.0,97.0,39.4,4.875,39.0
male,55,191.0,98.0,17.0,104.0,40.2,7.294117647058823,124.0
male,41,187.0,87.0,2.0,82.0,38.3,3.0,6.0
female,36,170.0,69.0,8.0,88.0,39.6,4.25,34.0
female,21,166.0,62.0,26.0,113.0,40.7,6.730769230769231,175.0
male,53,196.0,97.0,27.0,108.0,40.9,7.777777777777778,210.0
female,79,168.0,70.0,23.0,97.0,40.5,5.913043478260869,136.0
female,20,168.0,69.0,30.0,113.0,40.8,6.6,198.0
female,21,168.0,65.0,29.0,105.0,41.2,5.827586206896552,169.0
male,34,175.0,76.0,15.0,92.0,40.3,4.0,60.0
male,41,185.0,85.0,2.0,79.0,38.1,2.5,5.0
female,41,161.0,62.0,8.0,90.0,39.5,4.625,37.0
male,24,209.0,110.0,8.0,80.0,40.0,2.375,19.0
female,21,177.0,77.0,16.0,97.0,40.3,4.8125,77.0
female,27,164.0,63.0,22.0,102.0,40.9,5.636363636363637,124.0
male,25,179.0,80.0,4.0,89.0,39.1,3.25,13.0
male,21,176.0,72.0,12.0,86.0,40.0,2.3333333333333335,28.0
female,26,158.0,60.0,12.0,91.0,40.0,4.5,54.0
female,29,164.0,64.0,16.0,96.0,40.2,5.0,80.0
female,43,167.0,71.0,19.0,97.0,40.4,5.2631578947368425,100.0
female,33,162.0,57.0,17.0,97.0,40.5,5.294117647058823,90.0
female,22,165.0,63.0,4.0,88.0,39.0,4.0,16.0
female,49,155.0,58.0,10.0,96.0,39.9,5.5,55.0
male,50,174.0,76.0,25.0,107.0,40.9,7.0,175.0
male,72,195.0,99.0,15.0,99.0,40.4,7.4,111.0
female,26,169.0,62.0,11.0,79.0,39.8,3.1818181818181817,35.0
male,25,197.0,97.0,14.0,92.0,40.4,4.0,56.0
female,20,146.0,46.0,14.0,91.0,40.5,4.571428571428571,64.0
female,52,157.0,56.0,16.0,93.0,40.2,5.1875,83.0
female,29,171.0,69.0,4.0,81.0,39.3,3.25,13.0
female,27,184.0,73.0,13.0,91.0,40.3,4.3076923076923075,56.0
male,69,177.0,76.0,15.0,102.0,40.3,7.2,108.0
female,35,182.0,74.0,27.0,101.0,41.1,5.518518518518518,149.0
male,20,185.0,82.0,6.0,83.0,39.5,2.0,12.0
male,44,170.0,70.0,9.0,85.0,39.5,3.3333333333333335,30.0
female,23,185.0,80.0,8.0,91.0,39.4,4.125,33.0
male,22,181.0,79.0,25.0,116.0,40.6,7.08,177.0
female,24,158.0,56.0,6.0,79.0,39.6,3.1666666666666665,19.0
male,25,187.0,91.0,13.0,89.0,40.0,3.3846153846153846,44.0
female,22,167.0,64.0,16.0,89.0,40.2,4.125,66.0
male,22,179.0,73.0,10.0,84.0,39.9,2.1,21.0
male,37,186.0,90.0,28.0,118.0,40.5,8.357142857142858,234.0
female,34,169.0,69.0,8.0,91.0,39.6,4.5,36.0
male,46,194.0,91.0,14.0,91.0,40.0,4.714285714285714,66.0
female,36,170.0,65.0,12.0,93.0,40.1,4.833333333333333,58.0
female,39,168.0,64.0,6.0,80.0,39.5,3.5,21.0
male,31,188.0,86.0,10.0,94.0,39.4,4.4,44.0
female,22,164.0,64.0,18.0,91.0,40.5,4.333333333333333,78.0
female,42,155.0,53.0,14.0,91.0,40.1,4.857142857142857,68.0
female,22,154.0,49.0,16.0,95.0,40.3,5.0,80.0
male,57,182.0,86.0,10.0,95.0,39.8,5.8,58.0
female,25,160.0,60.0,5.0,89.0,39.4,4.2,21.0
female,75,153.0,62.0,11.0,87.0,40.0,4.909090909090909,54.0
female,53,172.0,70.0,25.0,102.0,40.6,6.0,150.0
male,54,199.0,98.0,3.0,89.0,38.8,5.0,15.0
male,21,188.0,82.0,2.0,85.0,38.1,2.5,5.0
male,32,198.0,100.0,29.0,105.0,40.8,6.379310344827586,185.0
female,51,168.0,63.0,20.0,103.0,40.7,6.15,123.0
female,36,175.0,67.0,23.0,103.0,40.7,5.869565217391305,135.0
male,25,189.0,88.0,4.0,90.0,39.1,3.5,14.0
male,30,174.0,71.0,29.0,114.0,40.9,7.0,203.0
female,53,160.0,63.0,9.0,97.0,39.9,5.555555555555555,50.0
male,53,183.0,81.0,20.0,107.0,40.7,7.25,145.0
male,45,184.0,91.0,16.0,91.0,40.2,4.6875,75.0
female,51,171.0,71.0,17.0,95.0,40.2,5.176470588235294,88.0
male,36,182.0,79.0,17.0,96.0,40.5,4.764705882352941,81.0
male,35,186.0,86.0,10.0,93.0,39.8,4.4,44.0
male,51,177.0,85.0,10.0,87.0,39.8,4.2,42.0
male,71,185.0,96.0,5.0,85.0,39.1,5.2,26.0
female,31,180.0,75.0,27.0,104.0,40.9,5.7407407407407405,155.0
female,77,177.0,80.0,16.0,98.0,40.6,5.875,94.0
female,20,155.0,56.0,4.0,82.0,39.0,3.5,14.0
male,79,176.0,81.0,6.0,101.0,39.1,7.666666666666667,46.0
female,21,157.0,56.0,17.0,100.0,40.0,5.411764705882353,92.0
male,24,179.0,82.0,28.0,104.0,40.4,5.428571428571429,152.0
male,38,186.0,88.0,27.0,102.0,40.9,5.925925925925926,160.0
female,20,169.0,64.0,20.0,99.0,40.8,5.2,104.0
female,22,172.0,65.0,8.0,83.0,39.6,3.5,28.0
female,67,164.0,67.0,22.0,105.0,40.4,6.590909090909091,145.0
male,32,186.0,85.0,8.0,88.0,39.5,3.5,28.0
female,20,164.0,63.0,22.0,113.0,40.5,6.681818181818182,147.0
female,37,170.0,69.0,25.0,118.0,40.7,7.44,186.0
female,55,141.0,52.0,16.0,103.0,40.1,6.375,102.0
female,29,161.0,61.0,9.0,87.0,39.4,4.111111111111111,37.0
male,42,188.0,92.0,22.0,99.0,40.6,5.7727272727272725,127.0
female,28,146.0,48.0,14.0,107.0,40.4,6.428571428571429,90.0
male,66,164.0,75.0,27.0,114.0,40.7,8.814814814814815,238.0
female,24,164.0,63.0,16.0,94.0,40.2,4.75,76.0
male,51,186.0,88.0,3.0,81.0,38.6,3.3333333333333335,10.0
female,56,183.0,80.0,21.0,97.0,40.4,5.380952380952381,113.0
male,34,178.0,80.0,21.0,106.0,40.4,6.190476190476191,130.0
female,28,152.0,53.0,13.0,98.0,40.1,5.384615384615385,70.0
female,34,169.0,68.0,7.0,88.0,39.3,4.142857142857143,29.0
female,79,178.0,73.0,19.0,99.0,40.6,6.105263157894737,116.0
female,27,170.0,67.0,5.0,77.0,39.1,3.0,15.0
female,32,197.0,90.0,22.0,105.0,40.7,5.681818181818182,125.0
female,34,164.0,60.0,6.0,81.0,39.0,3.5,21.0
female,33,163.0,55.0,12.0,93.0,40.0,4.916666666666667,59.0
male,23,172.0,74.0,22.0,102.0,40.1,4.909090909090909,108.0
male,46,173.0,72.0,19.0,103.0,40.4,6.157894736842105,117.0
female,77,162.0,66.0,12.0,92.0,40.2,5.416666666666667,65.0
female,74,161.0,59.0,7.0,89.0,39.3,5.142857142857143,36.0
female,61,157.0,62.0,5.0,83.0,38.8,4.2,21.0
male,49,198.0,105.0,12.0,94.0,40.2,5.666666666666667,68.0
female,56,167.0,70.0,19.0,103.0,40.7,6.157894736842105,117.0
male,44,171.0,80.0,26.0,112.0,40.8,7.576923076923077,197.0
female,36,152.0,55.0,26.0,121.0,40.9,7.923076923076923,206.0
female,30,148.0,53.0,18.0,89.0,40.5,4.444444444444445,80.0
male,33,168.0,73.0,21.0,99.0,40.6,4.904761904761905,103.0
male,31,173.0,77.0,13.0,95.0,40.2,4.3076923076923075,56.0
male,77,181.0,85.0,7.0,85.0,39.5,5.142857142857143,36.0
female,40,148.0,53.0,9.0,87.0,39.6,4.444444444444445,40.0
male,79,177.0,83.0,13.0,88.0,40.5,5.6923076923076925,74.0
male,73,186.0,96.0,20.0,103.0,40.4,7.95,159.0
female,38,177.0,77.0,14.0,83.0,40.1,3.642857142857143,51.0
male,22,177.0,80.0,7.0,86.0,39.5,2.5714285714285716,18.0
male,53,183.0,85.0,24.0,105.0,40.8,7.041666666666667,169.0
male,30,177.0,79.0,15.0,96.0,39.9,4.466666666666667,67.0
female,47,164.0,64.0,18.0,110.0,40.2,6.833333333333333,123.0
female,50,161.0,57.0,23.0,111.0,40.5,7.086956521739131,163.0
male,41,179.0,80.0,26.0,106.0,40.6,6.538461538461538,170.0
male,56,201.0,100.0,17.0,101.0,40.4,6.9411764705882355,118.0
male,47,191.0,98.0,29.0,116.0,40.8,8.689655172413794,252.0
male,23,195.0,93.0,2.0,81.0,38.5,2.0,4.0
female,59,142.0,45.0,14.0,99.0,40.3,6.142857142857143,86.0
male,60,182.0,88.0,30.0,103.0,40.9,7.166666666666667,215.0
male,54,199.0,98.0,7.0,88.0,39.6,4.857142857142857,34.0
male,34,190.0,95.0,17.0,91.0,40.2,4.235294117647059,72.0
female,26,169.0,64.0,4.0,84.0,38.8,3.75,15.0
female,39,166.0,56.0,16.0,100.0,40.3,5.75,92.0
female,24,155.0,50.0,16.0,98.0,40.2,5.3125,85.0
female,20,164.0,65.0,25.0,105.0,40.5,5.8,145.0
female,54,178.0,71.0,9.0,88.0,40.0,4.555555555555555,41.0
male,78,174.0,80.0,28.0,109.0,40.7,8.75,245.0
male,26,180.0,84.0,15.0,92.0,40.3,3.8,57.0
female,26,168.0,65.0,13.0,88.0,40.3,4.076923076923077,53.0
female,24,178.0,78.0,2.0,93.0,38.2,4.5,9.0
male,50,193.0,99.0,3.0,81.0,38.3,3.6666666666666665,11.0
male,36,175.0,70.0,24.0,104.0,40.3,5.75,138.0
female,43,156.0,58.0,6.0,87.0,39.1,4.333333333333333,26.0
male,26,173.0,76.0,21.0,102.0,40.2,5.095238095238095,107.0
male,31,178.0,78.0,19.0,106.0,40.4,6.0,114.0
female,50,170.0,72.0,18.0,102.0,40.4,5.944444444444445,107.0
male,20,183.0,85.0,13.0,89.0,40.3,3.076923076923077,40.0
male,29,191.0,87.0,13.0,94.0,40.1,4.3076923076923075,56.0
female,42,165.0,65.0,3.0,79.0,38.6,3.3333333333333335,10.0
male,36,192.0,98.0,24.0,105.0,40.8,6.5,156.0
female,25,174.0,73.0,13.0,90.0,40.3,4.153846153846154,54.0
male,27,158.0,65.0,9.0,87.0,39.4,2.6666666666666665,24.0
male,32,208.0,103.0,25.0,108.0,40.9,6.88,172.0
male,37,185.0,83.0,26.0,106.0,41.0,6.384615384615385,166.0
male,46,182.0,84.0,17.0,99.0,40.4,5.764705882352941,98.0
male,47,195.0,94.0,20.0,94.0,40.5,5.3,106.0
male,46,203.0,107.0,6.0,82.0,39.4,3.6666666666666665,22.0
female,66,174.0,74.0,23.0,99.0,40.8,5.869565217391305,135.0
male,79,205.0,105.0,6.0,86.0,39.5,5.833333333333333,35.0
male,24,184.0,83.0,11.0,93.0,40.0,3.8181818181818183,42.0
female,65,169.0,72.0,7.0,94.0,39.6,5.285714285714286,37.0
male,43,194.0,96.0,13.0,95.0,40.0,5.3076923076923075,69.0
female,58,165.0,62.0,16.0,100.0,40.3,6.0,96.0
female,78,175.0,73.0,21.0,107.0,40.6,6.9523809523809526,146.0
female,61,175.0,71.0,18.0,99.0,40.3,5.833333333333333,105.0
male,44,189.0,88.0,13.0,94.0,40.0,5.0,65.0
male,21,181.0,79.0,18.0,91.0,40.3,3.2777777777777777,59.0
female,35,160.0,57.0,22.0,103.0,40.5,5.954545454545454,131.0
female,34,137.0,44.0,9.0,90.0,39.6,4.777777777777778,43.0
female,34,162.0,61.0,20.0,99.0,40.7,5.45,109.0
female,20,158.0,60.0,17.0,91.0,40.2,4.352941176470588,74.0
female,28,159.0,55.0,24.0,106.0,41.0,6.208333333333333,149.0
male,20,180.0,82.0,11.0,92.0,40.1,3.4545454545454546,38.0
male,43,211.0,113.0,7.0,81.0,39.4,3.5714285714285716,25.0
female,28,163.0,66.0,21.0,99.0,40.8,5.285714285714286,111.0
male,40,179.0,84.0,17.0,99.0,40.2,5.529411764705882,94.0
male,29,179.0,80.0,28.0,108.0,41.0,6.25,175.0
male,55,171.0,70.0,17.0,93.0,40.3,5.0,85.0
female,27,159.0,59.0,14.0,88.0,39.9,4.214285714285714,59.0
male,27,187.0,82.0,25.0,101.0,40.8,5.12,128.0
female,30,168.0,70.0,28.0,103.0,41.1,5.714285714285714,160.0
male,36,181.0,84.0,19.0,101.0,40.2,5.631578947368421,107.0
female,30,163.0,64.0,14.0,89.0,40.4,4.285714285714286,60.0
female,40,166.0,63.0,10.0,86.0,39.7,4.2,42.0
female,59,161.0,58.0,24.0,104.0,40.9,6.5,156.0
female,60,156.0,56.0,18.0,94.0,40.8,5.444444444444445,98.0
female,24,162.0,62.0,15.0,89.0,40.1,4.2,63.0
female,66,167.0,71.0,27.0,106.0,40.8,6.62962962962963,179.0
male,69,193.0,99.0,7.0,90.0,39.4,5.857142857142857,41.0
female,30,159.0,53.0,16.0,101.0,40.5,5.75,92.0
female,52,164.0,63.0,3.0,78.0,38.6,3.6666666666666665,11.0
female,32,159.0,63.0,23.0,103.0,40.3,5.826086956521739,134.0
male,39,190.0,90.0,7.0,89.0,39.5,4.142857142857143,29.0
male,56,192.0,99.0,19.0,94.0,40.2,5.842105263157895,111.0
female,21,182.0,72.0,6.0,87.0,39.0,3.8333333333333335,23.0
male,56,205.0,108.0,28.0,106.0,40.6,7.857142857142857,220.0
male,55,184.0,86.0,2.0,83.0,37.6,4.0,8.0
male,23,178.0,81.0,23.0,105.0,40.5,5.521739130434782,127.0
female,21,178.0,71.0,7.0,89.0,39.8,4.0,28.0
female,65,173.0,68.0,9.0,81.0,39.4,4.0,36.0
male,51,178.0,81.0,8.0,85.0,39.4,3.875,31.0
female,59,155.0,55.0,20.0,96.0,40.4,5.65,113.0
male,52,177.0,77.0,23.0,99.0,40.4,5.913043478260869,136.0
female,22,157.0,59.0,3.0,88.0,38.6,4.0,12.0
female,38,157.0,57.0,5.0,83.0,39.3,3.8,19.0
female,55,144.0,50.0,7.0,82.0,39.4,4.142857142857143,29.0
female,57,167.0,63.0,21.0,100.0,40.5,5.9523809523809526,125.0
male,44,184.0,88.0,22.0,98.0,40.8,5.636363636363637,124.0
female,46,171.0,60.0,14.0,93.0,40.2,5.071428571428571,71.0
male,67,183.0,87.0,26.0,106.0,40.4,7.923076923076923,206.0
male,29,198.0,100.0,11.0,78.0,40.0,2.1818181818181817,24.0
male,32,176.0,82.0,9.0,86.0,39.5,3.111111111111111,28.0
